marker_name,standardized_name,display_name,abbreviation,standard_unit,standard_range_min,standard_range_max,aggressive_target_min,aggressive_target_max,rationale_for_aggressive,clinical_significance,longevity_context,key_citations,measurement_method,loinc_code,loinc_name
resistin,resistin,Resistin,,ng/mL,2.85,11.60,,5,Lower resistin reduces inflammation and improves glucose metabolism in aging populations.,Pro-inflammatory adipokine linked to insulin resistance and cardiovascular disease risk factors.,Optimized resistin reduces chronic inflammation, a key driver of aging-related diseases like atherosclerosis.,"[""Steppan et al. (2001) Nature""]",,,
Respiratory Rate,respiratory_rate,Respiratory Rate,RR,breaths/min,,,,,,,,,,,
Resting Heart Rate,resting_heart_rate,Resting Heart Rate,RHR,bpm,,,,,,,,,,,
reverse_t3,reverse_t3,Reverse T3,rT3,ng/dL,8,25,,15,Lower rT3 indicates efficient T4-to-T3 conversion and reduced cellular hypothyroidism risk.,Elevated rT3 reflects impaired thyroid hormone metabolism due to chronic stress or inflammation burden.,Optimized rT3/T3 ratio supports metabolic efficiency and reduces fatigue in aging populations.,"[""Hofling et al. (2012) Thyroid Res""]",,,
rf,rf,Rheumatoid Factor,RF,kU/L,,20,,10,Lower RF reduces autoimmune burden in rheumatoid arthritis (RA).,Elevated in RA (70-80%), Sjögren's syndrome, and chronic infections.,Reduced RF delays joint destruction and cardiovascular complications in RA.,"[""Aletaha et al. (2010) Ann Rheum Dis""]",,,
shbg,shbg,Sex Hormone Binding Globulin,SHBG,nmol/L,18.3,54.1,25,45,Balances free testosterone bioavailability and metabolic health.,Elevated SHBG reduces free testosterone; low SHBG is linked to insulin resistance.,Optimized SHBG supports metabolic flexibility and hormonal balance in aging populations.,"[""Brand et al. (2019) Aging Male""]",,,
Sleep Efficiency,sleep_efficiency,Sleep Efficiency,Sleep Eff,%,,,,,,,,,,,
Sleep Performance,sleep_performance,Sleep Performance,Sleep Perf,%,,,,,,,,,,,
Sleep Score,sleep_score,Sleep Score,Sleep,score,,,,,,,,,,,
small_dense_ldl_c,small_dense_ldl_c,Small Dense LDL-C,sdLDL-C,mg/dL,,60,,20,Smaller LDL particles are more atherogenic; lower levels reduce plaque formation risk significantly.,Reflects LDL particle size and density; smaller particles penetrate arterial walls more easily.,Reduced small dense LDL improves vascular health, critical for reducing age-related cardiovascular disease.,"[""Austin et al. (1998) Circulation""]",,,
sodium,sodium,Sodium,Na,mmol/L,133,146,135,142,Balanced sodium maintains fluid balance without contributing to hypertension or dehydration risks.,Elevated sodium suggests dehydration or high salt intake; low sodium indicates hyponatremia or overhydration.,Optimized sodium supports blood pressure regulation and reduces risks of cardiovascular events in aging populations.,"[""He et al. (2013) BMJ""]",,,
SpO2,spo2,Blood Oxygen Saturation,SpO2,%,,,,,,,,,,,
Steps,steps,Steps,Steps,count,,,,,,,,,,,
tas,tas,Total Antioxidant Status,TAS,mmol/L,1.30,,1.50,,Higher TAS reflects better oxidative balance critical for reducing cellular damage from free radicals.,Low TAS indicates poor antioxidant reserves; high values suggest effective dietary or supplemental antioxidant intake.,Optimized TAS reduces risks of age-related diseases like cardiovascular disease, cancer, and neurodegeneration.,"[""Halliwell et al. (2007) Free Radic Biol Med""]",,,
testosterone,testosterone,Testosterone,,nmol/L,8.6,29.0,15.0,25.0,Maintains anabolic balance while avoiding androgen excess risks.,Critical for muscle mass, bone density, and cognitive function; low levels accelerate frailty.,Optimized testosterone reduces risks of sarcopenia, osteoporosis, and cognitive decline in aging males.,"[""Travison et al. (2017) J Clin Endocrinol Metab""]",,,
thyroglobulin,thyroglobulin,Thyroglobulin,Tg,ng/mL,1.4,29.2,,10,Lower levels indicate reduced thyroid tissue burden.,Elevated thyroglobulin suggests thyroid hyperplasia or cancer.,Optimized thyroglobulin reflects thyroid health and reduced autoimmune/inflammatory burden.,"[""Durante et al. (2006) J Clin Endocrinol Metab""]",,,
Total Iron Binding Capacity (TIBC),tibc,Total Iron-Binding Capacity,TIBC,µmol/L,44.8,80.6,50,70,Indicates transferrin capacity to bind iron, reflecting iron transport efficiency in the body.,Elevated TIBC suggests iron deficiency, while low TIBC may indicate overload or chronic disease.,Optimized TIBC ensures efficient iron transport and reduces risks of anemia or overload-related damage in aging tissues.,"[""Girelli et al. (2018) Blood Rev""]",,,
tmao,tmao,Trimethylamine N-Oxide,TMAO,µM,,6,,3,Gut microbiome-derived metabolite linked to plaque instability and thrombosis.,Predicts major adverse cardiac events (MACE) and heart failure progression.,Lower TMAO reduces microbiome-driven inflammation and vascular aging.,"[""Tang et al. (2013) NEJM""]",,,
Tumor Necrosis Factor-alpha (TNF-α),tnf_alpha,Tumor Necrosis Factor Alpha,TNF-α,pg/mL,,8.10,,6.00,,,,,,,
total_bilirubin,total_bilirubin,Total Bilirubin,TBIL,µmol/L,3,21,,15,Lower bilirubin reflects efficient hepatic clearance and reduced hemolysis risk.,Elevated bilirubin suggests liver dysfunction or hemolysis; low levels may indicate overhydration.,Optimized bilirubin supports vascular health and reduces oxidative stress in aging populations.,"[""Horsfall et al. (2012) J Am Heart Assoc""]",,,
total_cholesterol,total_cholesterol,Total Cholesterol,TC,mmol/L,,5.00,3.0,4.0,Lower levels reduce atherosclerosis risk without impairing hormone synthesis.,Reflects overall cholesterol burden; elevated levels linked to cardiovascular disease.,Optimized levels are associated with reduced cardiovascular morbidity and mortality.,"[""Ference et al. (2017) JAMA Cardiol""]",,,
total_psa,total_psa,Total PSA,PSA,µg/L,,4.0,,2.0,Lower PSA reduces prostate cancer risk while maintaining surveillance capacity.,Elevated PSA suggests prostate inflammation or malignancy.,Optimized PSA supports early cancer detection while avoiding overdiagnosis in aging males.,"[""Loeb et al. (2017) Eur Urol""]",,,
Total Sleep Time,total_sleep_time,Total Sleep Time,TST,hours,,,,,,,,,,,
trab,trab,TSH Receptor Antibodies,TRAb,IU/L,,,,,,,Early Graves' disease detection,,,,
Transferrin,transferrin,Transferrin,Tf,g/L,2.00,3.80,2.50,3.30,Balances iron transport capacity with reduced risk of oxidative stress from excessive free radicals.,Transferrin is the primary iron transporter; low levels suggest liver dysfunction or overload, while high levels indicate deficiency.,Healthy transferrin levels support optimal cellular function and reduce inflammation linked to aging processes.,"[""Ganz et al. (2019) Nat Rev Mol Cell Biol""]",,,
Transferrin Saturation,transferrin_saturation,Transferrin Saturation,TSAT,%,20,50,25,40,Ensures adequate iron delivery without promoting oxidative stress from free iron in circulation.,Low saturation indicates deficiency, while high saturation suggests risk of hemochromatosis or oxidative damage to tissues.,Balanced saturation reduces risks of neurodegeneration and cardiovascular issues associated with aging populations.,"[""Ellervik et al. (2014) PLoS One""]",,,
triglycerides,triglycerides,Triglycerides,TG,mmol/L,,2.30,,1.0,Lower triglycerides reduce metabolic syndrome and cardiovascular risk factors like insulin resistance.,Elevated triglycerides are linked to metabolic syndrome, diabetes, and atherogenesis.,Optimized triglycerides improve insulin sensitivity and reduce chronic inflammation, key for healthy aging.,"[""Nordestgaard et al. (2007) JAMA""]",,,
tsh,tsh,Thyroid Stimulating Hormone,TSH,mIU/L,0.35,5.50,1.0,2.5,Lower TSH within normal range reduces metabolic and cardiovascular risks.,Elevated TSH suggests subclinical hypothyroidism; low TSH may indicate hyperthyroidism.,Optimized TSH supports mitochondrial function and metabolic rate critical for healthy aging.,"[""Bauer et al. (2013) Eur Thyroid J""]",,,
urea,urea,Urea,,mmol/L,2.50,7.80,3.50,5.00,Lower urea levels reflect efficient nitrogen metabolism and reduced protein catabolism burden.,Elevated urea suggests dehydration, high protein intake, or renal dysfunction.,Optimized urea reduces risks of metabolic acidosis and chronic kidney disease progression in aging adults.,"[""Johnson et al. (2013) Am J Kidney Dis""]",,,
uric_acid,uric_acid,Uric Acid,UA,µmol/L,200,430,,350,Lower uric acid reduces risks of gout, metabolic syndrome, and oxidative stress-related damage.,Elevated uric acid is associated with gout, hypertension, and chronic kidney disease risk factors.,Optimized uric acid levels improve vascular health and reduce inflammation critical for healthy aging strategies.,"[""Feig et al. (2008) Hypertension""]",,,
urine_bilirubin,urine_bilirubin,Urine Bilirubin,,µmol/L,,3,,0,Reduces hepatobiliary stress and hemolytic burden.,Elevated in liver disease, bile duct obstruction, or hemolysis.,Subclinical bilirubinuria correlates with NAFLD progression.,"[""Horsfall et al. (2012) J Am Heart Assoc""]",,,
urine_glucose,urine_glucose,Urine Glucose,,mmol/L,,0.8,,0.3,Minimizes renal glucose spillage and metabolic stress.,Indicates uncontrolled diabetes or renal glycosuria.,Even transient glucosuria accelerates AGE formation linked to aging.,"[""Tuttle et al. (2022) Diabetes Care""]",,,
urine_ketones,urine_ketones,Urine Ketones,,mmol/L,,0.5,,0,Prevents metabolic acidosis and mitochondrial dysfunction.,Marker of starvation, diabetic ketoacidosis, or ketogenic diet.,Chronic ketonuria may indicate impaired insulin signaling.,"[""Newman et al. (2019) J Clin Endocrinol Metab""]",,,
urine_ph,urine_ph,Urine pH,pH,pH,4.5,8.0,5.5,6.5,Optimizes stone prevention (uric acid vs. calcium phosphate).,Acidic pH promotes uric acid stones; alkaline pH favors calcium phosphate stones.,Balanced pH reduces renal tubular acidosis risk and bone demineralization.,"[""Worcester et al. (2021) Kidney Int""]",,,
urine_protein,urine_protein,Urine Protein,,mg/day,,150,,100,Reduces glomerular hyperfiltration and tubular stress.,Early marker of glomerular damage (diabetes, hypertension) or tubular injury.,Persistent microalbuminuria predicts cardiovascular mortality.,"[""Levey et al. (2020) Ann Intern Med""]",,,
urine_rbc,urine_rbc,Urine Red Blood Cells,RBC,/HPF,0,3,0,1,Minimizes glomerular/tubular microtrauma.,Hematuria suggests glomerulonephritis, stones, or malignancy.,Persistent microscopic hematuria increases ESRD risk by 2.5x.,"[""Cohen et al. (2021) J Am Soc Nephrol""]",,,
urine_specific_gravity,urine_specific_gravity,Specific Gravity,SG,ratio,1.003,1.030,1.010,1.020,Avoids extremes of dehydration or overhydration while maintaining renal concentrating ability.,Reflects hydration status and renal tubular function.,Chronic high SG (>1.025) linked to kidney stone risk; low SG suggests impaired renal function.,"[""Perrone et al. (2019) Clin J Am Soc Nephrol""]",,,
urine_urobilinogen,urine_urobilinogen,Urobilinogen,,mg/dL,0.2,1.0,0.2,0.5,Maintains hepatic conjugation capacity without intestinal overproduction.,Elevated in hemolysis or liver dysfunction; absent in biliary obstruction.,Chronic low levels suggest impaired gut-liver axis function.,"[""Straseski et al. (2015) Clin Chim Acta""]",,,
urine_wbc,urine_wbc,Urine White Blood Cells,WBC,/HPF,0,5,0,3,Reduces subclinical inflammation burden.,>10/HPF indicates infection or autoimmune activity.,Elevated WBCs predict faster renal function decline in aging.,"[""Faria et al. (2022) Kidney Int Rep""]",,,
vitamin_b12,vitamin_b12,Vitamin B12,B12,ng/L,197,771,400,600,Excessive levels may indicate supplementation or reduced cellular uptake; optimal range supports neurological health.,Low B12 is linked to anemia and cognitive decline; high levels may reflect supplementation or liver dysfunction.,Optimized B12 supports mitochondrial function, cognitive health, and reduced homocysteine levels in aging adults.,"[""Smith et al. (2010) Am J Clin Nutr""]",,,
vitamin_d,vitamin_d,Vitamin D,25(OH)D,nmol/L,50,375,100,150,Higher vitamin D levels support bone mineralization, immune function, and reduced inflammation.,Low vitamin D is associated with osteoporosis, fractures, and immune dysfunction; high levels may cause toxicity.,Optimized vitamin D improves bone health, reduces fracture risk, and supports immune function in aging populations.,"[""Holick et al. (2011) J Clin Endocrinol Metab""]",,,
WBC Count,wbc_count,White Blood Cell Count,WBC,10^9/L,4.00,10.00,4.50,7.00,Reduces chronic inflammation while maintaining immune vigilance,Screens for infection/leukemia; monitors immune status,Elevated counts associated with accelerated biological aging,"[""Shah et al. (2017) JAMA Intern Med""]",,,
zinc,zinc,Zinc,Zn,µmol/L,11.1,19.5,13,16,Balanced zinc supports immune function, wound healing, and enzymatic activity without causing copper imbalance.,Low zinc is associated with impaired immunity and poor wound healing; high levels may disrupt copper metabolism.,Optimized zinc reduces oxidative stress and supports immune resilience in aging populations.,"[""Prasad et al. (2008) J Trace Elem Med Biol""]",,,
